1;00:00:00,000 --> 00:00:04,720;Passamos por muitas coisas esse ano, momentos mais complicados
2;00:00:04,720 --> 00:00:09,590;e outros que ficarão eternamente marcados em nossas vidas!
3;00:00:09,590 --> 00:00:14,800;Mas o que nunca vamos perder é a esperança em um amanhã melhor.
4;00:00:14,800 --> 00:00:20,470;<Porque> Ver os sorrisos e histórias sendo contadas na Pinho’s, não tem preço.
5;00:00:20,470 --> 00:00:24,550;Esperamos que a música que embala a sua vida,
6;00:00:24,550 --> 00:00:27,940;nos mova para um ano de alegrias e conquistas.
7;00:00:27,940 --> 00:00:34,960;Um Feliz Natal <um prospero ano novo> e um 2021 irado!
;;
;;
;;
;;
;;
;;
;;
;;
;;
