1;00:00:00,000 --> 00:00:02,380;Mais um ano se encerra.
2;00:00:02,380 --> 00:00:06,310;2020 com certeza ficará marcado para sempre em nossas vidas.
3;00:00:06,310 --> 00:00:09,470;Foi um período de muito aprendizado e reinvenção.
4;00:00:09,470 --> 00:00:13,000;O que podemos esperar para 2021?
5;00:00:13,000 --> 00:00:15,390;Bom, faça uma reflexão:
6;00:00:15,390 --> 00:00:18,420;Talvez se agíssemos na mesma proporção
7;00:00:18,420 --> 00:00:20,580;que a nossa imaginação atua,
8;00:00:20,580 --> 00:00:23,370;teríamos mais chances de ser feliz.
9;00:00:23,370 --> 00:00:26,380;Não são os erros ou os acertos
10;00:00:26,380 --> 00:00:28,500;que conduzem a nossa felicidade,
11;00:00:28,500 --> 00:00:32,460;e sim a forma como lidamos com cada um deles.
12;00:00:32,460 --> 00:00:35,500;Se o ano que passou não foi bom o suficiente,
13;00:00:35,500 --> 00:00:38,180;faça pelo menos o que deu errado
14;00:00:38,180 --> 00:00:40,490;de uma maneira diferente.
15;00:00:40,490 --> 00:00:43,400;Agora, se a alegria permaneceu ao seu lado
16;00:00:43,400 --> 00:00:45,070;como uma grande amiga,
17;00:00:45,070 --> 00:00:46,870;continue no mesmo caminho,
18;00:00:46,870 --> 00:00:49,570;e tente repetir mais vezes os momentos
19;00:00:49,570 --> 00:00:51,950;que lhe renderam muitos sorrisos.
